time	I(D1)
2.262674503809475e-06	9.435442e-03
2.282205753809475e-06	9.435202e-03
2.301737003809476e-06	9.434965e-03
2.321268253809476e-06	9.434733e-03
2.340799503809476e-06	9.434504e-03
2.360330753809476e-06	9.434277e-03
2.379862003809476e-06	9.434054e-03
2.399393253809476e-06	9.433834e-03
2.418924503809476e-06	9.433617e-03
2.438455753809476e-06	9.433403e-03
2.457987003809476e-06	9.433191e-03
2.477518253809476e-06	9.432984e-03
2.497049503809476e-06	9.432778e-03
2.516580753809476e-06	9.432576e-03
2.536112003809476e-06	9.432375e-03
2.555643253809476e-06	9.432179e-03
2.575174503809476e-06	9.431984e-03
2.594705753809476e-06	9.431792e-03
2.614237003809476e-06	9.431603e-03
2.633768253809476e-06	9.431417e-03
2.653299503809476e-06	9.431233e-03
2.672830753809476e-06	9.431051e-03
2.692362003809477e-06	9.430871e-03
2.711893253809477e-06	9.430694e-03
2.731424503809477e-06	9.430520e-03
2.750955753809477e-06	9.430348e-03
2.770487003809477e-06	9.430178e-03
2.790018253809477e-06	9.430010e-03
2.809549503809477e-06	9.429844e-03
2.829080753809477e-06	9.429680e-03
2.848612003809477e-06	9.429519e-03
2.868143253809477e-06	9.429360e-03
2.887674503809477e-06	9.429202e-03
2.907205753809477e-06	9.429047e-03
2.926737003809477e-06	9.428893e-03
2.946268253809477e-06	9.428742e-03
2.965799503809477e-06	9.428592e-03
2.985330753809477e-06	9.428445e-03
3.004862003809477e-06	9.428299e-03
3.024393253809477e-06	9.428156e-03
3.043924503809477e-06	9.428013e-03
3.063455753809478e-06	9.427872e-03
3.082987003809478e-06	9.427735e-03
3.102518253809478e-06	9.427598e-03
3.122049503809478e-06	9.427462e-03
3.141580753809478e-06	9.427329e-03
3.161112003809478e-06	9.427196e-03
3.180643253809478e-06	9.427067e-03
3.200174503809478e-06	9.426937e-03
3.219705753809478e-06	9.426811e-03
3.239237003809478e-06	9.426685e-03
3.258768253809478e-06	9.426561e-03
3.278299503809478e-06	9.426438e-03
3.297830753809478e-06	9.426317e-03
3.317362003809478e-06	9.426198e-03
3.336893253809478e-06	9.426080e-03
3.356424503809478e-06	9.425963e-03
3.375955753809478e-06	9.425848e-03
3.395487003809478e-06	9.425734e-03
3.415018253809478e-06	9.425621e-03
3.434549503809478e-06	9.425510e-03
3.454080753809479e-06	9.425400e-03
3.473612003809479e-06	9.425292e-03
3.493143253809479e-06	9.425184e-03
3.512674503809479e-06	9.425079e-03
3.532205753809479e-06	9.424973e-03
3.551737003809479e-06	9.424870e-03
3.571268253809479e-06	9.424767e-03
3.590799503809479e-06	9.424666e-03
3.610330753809479e-06	9.424566e-03
3.629862003809479e-06	9.424468e-03
3.649393253809479e-06	9.424370e-03
3.668924503809479e-06	9.424273e-03
3.688455753809479e-06	9.424178e-03
3.707987003809479e-06	9.424084e-03
3.727518253809479e-06	9.423990e-03
3.747049503809479e-06	9.423899e-03
3.766580753809479e-06	9.423807e-03
3.786112003809479e-06	9.423717e-03
3.805643253809479e-06	9.423628e-03
3.825174503809479e-06	9.423540e-03
3.844705753809480e-06	9.423453e-03
3.864237003809480e-06	9.423367e-03
3.883768253809480e-06	9.423282e-03
3.903299503809480e-06	9.423198e-03
3.922830753809480e-06	9.423115e-03
3.942362003809480e-06	9.423033e-03
3.961893253809480e-06	9.422951e-03
3.981424503809480e-06	9.422871e-03
4.000955753809480e-06	9.422792e-03
4.020487003809480e-06	9.422714e-03
4.040018253809480e-06	9.422636e-03
4.059549503809480e-06	9.422559e-03
4.079080753809480e-06	9.422484e-03
4.098612003809480e-06	9.422408e-03
4.118143253809480e-06	9.422334e-03
4.137674503809480e-06	9.422261e-03
4.157205753809480e-06	9.422189e-03
4.176737003809480e-06	9.422117e-03
4.196268253809480e-06	9.422046e-03
4.215799503809481e-06	9.421975e-03
4.235330753809481e-06	9.421906e-03
4.254862003809481e-06	9.421838e-03
4.274393253809481e-06	9.421770e-03
4.293924503809481e-06	9.421702e-03
4.313455753809481e-06	9.421636e-03
4.332987003809481e-06	9.421571e-03
4.352518253809481e-06	9.421506e-03
4.372049503809481e-06	9.421442e-03
4.391580753809481e-06	9.421378e-03
4.411112003809481e-06	9.421316e-03
4.430643253809481e-06	9.421254e-03
4.450174503809481e-06	9.421192e-03
4.469705753809481e-06	9.421132e-03
4.489237003809481e-06	9.421071e-03
4.508768253809481e-06	9.421012e-03
4.528299503809481e-06	9.420954e-03
4.547830753809481e-06	9.420895e-03
4.567362003809481e-06	9.420837e-03
4.586893253809481e-06	9.420780e-03
4.606424503809482e-06	9.420725e-03
4.625955753809482e-06	9.420669e-03
4.645487003809482e-06	9.420614e-03
4.665018253809482e-06	9.420560e-03
4.684549503809482e-06	9.420506e-03
4.704080753809482e-06	9.420453e-03
4.723612003809482e-06	9.420400e-03
4.743143253809482e-06	9.420347e-03
4.762674503809482e-06	9.420296e-03
4.782205753809482e-06	9.420245e-03
4.801737003809482e-06	9.420195e-03
4.821268253809482e-06	9.420144e-03
4.840799503809482e-06	9.420095e-03
4.860330753809482e-06	9.420047e-03
4.879862003809482e-06	9.419998e-03
4.899393253809482e-06	9.419951e-03
4.918924503809482e-06	9.419903e-03
4.938455753809482e-06	9.419857e-03
4.957987003809482e-06	9.419810e-03
4.977518253809483e-06	9.419764e-03
4.997049503809483e-06	9.419719e-03
5.000999999999999e-06	9.419709e-03
5.001999999999999e-06	-1.057449e-02
5.017999999999993e-06	-1.048669e-02
5.037449234795133e-06	-1.057814e-02
5.056980484795134e-06	-1.057694e-02
5.076511734795134e-06	-1.057579e-02
5.096042984795134e-06	-1.057459e-02
5.115574234795134e-06	-1.057338e-02
5.135105484795134e-06	-1.057215e-02
5.154636734795134e-06	-1.057091e-02
5.174167984795134e-06	-1.056964e-02
5.193699234795134e-06	-1.056836e-02
5.213230484795134e-06	-1.056706e-02
5.232761734795134e-06	-1.056573e-02
5.252292984795134e-06	-1.056439e-02
5.271824234795134e-06	-1.056302e-02
5.291355484795134e-06	-1.056163e-02
5.310886734795134e-06	-1.056022e-02
5.330417984795134e-06	-1.055878e-02
5.349949234795134e-06	-1.055732e-02
5.369480484795134e-06	-1.055582e-02
5.389011734795134e-06	-1.055430e-02
5.408542984795134e-06	-1.055275e-02
5.428074234795134e-06	-1.055116e-02
5.447605484795135e-06	-1.054954e-02
5.467136734795135e-06	-1.054789e-02
5.486667984795135e-06	-1.054620e-02
5.506199234795135e-06	-1.054446e-02
5.525730484795135e-06	-1.054269e-02
5.545261734795135e-06	-1.054087e-02
5.564792984795135e-06	-1.053900e-02
5.584324234795135e-06	-1.053708e-02
5.603855484795135e-06	-1.053510e-02
5.623386734795135e-06	-1.053306e-02
5.642917984795135e-06	-1.053096e-02
5.662449234795135e-06	-1.052880e-02
5.681980484795135e-06	-1.052655e-02
5.701511734795135e-06	-1.052423e-02
5.721042984795135e-06	-1.052182e-02
5.740574234795135e-06	-1.051931e-02
5.760105484795135e-06	-1.051669e-02
5.779636734795135e-06	-1.051396e-02
5.799167984795135e-06	-1.051110e-02
5.818699234795136e-06	-1.050808e-02
5.838230484795136e-06	-1.050491e-02
5.857761734795136e-06	-1.050153e-02
5.877292984795136e-06	-1.049794e-02
5.896824234795136e-06	-1.049410e-02
5.916355484795136e-06	-1.048994e-02
5.935886734795136e-06	-1.048542e-02
5.955417984795136e-06	-1.048045e-02
5.974949234795136e-06	-1.047491e-02
5.994480484795136e-06	-1.046864e-02
6.014011734795136e-06	-1.046139e-02
6.033542984795136e-06	-1.045277e-02
6.053074234795136e-06	-1.044217e-02
6.072605484795136e-06	-1.042850e-02
6.092136734795136e-06	-1.040972e-02
6.111667984795136e-06	-1.038167e-02
6.131199234795136e-06	-1.033475e-02
6.150730484795136e-06	-1.024320e-02
6.170261734795136e-06	-1.037589e-02
6.189792984795136e-06	-1.029549e-02
6.209324234795137e-06	-8.403829e-03
6.220286796937188e-06	-3.070655e-03
6.230748303220367e-06	-9.224429e-04
6.238718085891087e-06	-3.670741e-04
6.248782761917882e-06	-1.063080e-04
6.261370681301245e-06	-1.937991e-05
6.280901931301245e-06	5.886268e-07
6.300433181301245e-06	-1.515622e-07
6.319964431301245e-06	-1.240183e-07
6.339495681301246e-06	-1.250508e-07
6.359026931301246e-06	-1.250085e-07
6.378558181301246e-06	-1.250101e-07
6.398089431301246e-06	-1.250100e-07
6.417620681301246e-06	-1.250100e-07
6.437151931301246e-06	-1.250100e-07
6.456683181301246e-06	-1.250100e-07
6.476214431301246e-06	-1.250100e-07
6.495745681301246e-06	-1.250100e-07
6.515276931301246e-06	-1.250100e-07
6.534808181301246e-06	-1.250100e-07
6.554339431301246e-06	-1.250100e-07
6.573870681301246e-06	-1.250100e-07
6.593401931301246e-06	-1.250100e-07
6.612933181301246e-06	-1.250100e-07
6.632464431301246e-06	-1.250100e-07
6.651995681301246e-06	-1.250100e-07
6.671526931301246e-06	-1.250100e-07
6.691058181301246e-06	-1.250100e-07
6.710589431301246e-06	-1.250100e-07
6.730120681301247e-06	-1.250100e-07
6.749651931301247e-06	-1.250100e-07
6.769183181301247e-06	-1.250100e-07
6.788714431301247e-06	-1.250100e-07
6.808245681301247e-06	-1.250100e-07
6.827776931301247e-06	-1.250100e-07
6.847308181301247e-06	-1.250100e-07
6.866839431301247e-06	-1.250100e-07
6.886370681301247e-06	-1.250100e-07
6.905901931301247e-06	-1.250100e-07
6.925433181301247e-06	-1.250100e-07
6.944964431301247e-06	-1.250100e-07
6.964495681301247e-06	-1.250100e-07
6.984026931301247e-06	-1.250100e-07
7.003558181301247e-06	-1.250100e-07
7.023089431301247e-06	-1.250100e-07
7.042620681301247e-06	-1.250100e-07
7.062151931301247e-06	-1.250100e-07
7.081683181301247e-06	-1.250100e-07
7.101214431301248e-06	-1.250100e-07
7.120745681301248e-06	-1.250100e-07
7.140276931301248e-06	-1.250100e-07
7.159808181301248e-06	-1.250100e-07
7.179339431301248e-06	-1.250100e-07
7.198870681301248e-06	-1.250100e-07
